rank,hashtag,posts,views,category,engagement_score,sentiment_polarity,sentiment_label,scraped_at,original_text
4540,#afterhourstildawnstadiumtourNews,114,N/A,News & Politics,5.3,0.0,Neutral,2025-09-12T16:13:53.592968,4540# afterhourstildawnstadiumtourNews & Entertainment114PostsNo related creatorSee analytics
24,#autorepairshopVehicle,213,N/A,Technology,5.3,0.0,Neutral,2025-09-12T16:13:53.574752,24# autorepairshopVehicle & Transportation213PostsNo related creatorSee analytics
28,#bloodmoon,313,N/A,General,5.8,0.0,Neutral,2025-09-12T16:13:53.579599,28# bloodmoon313PostsNo related creatorSee analytics
42,#boboc,60,N/A,General,5.3,0.0,Neutral,2025-09-12T16:13:53.590256,42# boboc60PostsNo related creatorSee analytics
44,#botGames,71,N/A,Sports & Fitness,5.8,0.0,Neutral,2025-09-12T16:13:53.592033,44# botGames71PostsSee analytics
52,#buyApparel,81,N/A,Technology,5.0,0.0,Neutral,2025-09-12T16:13:53.598795,52# buyApparel & Accessories81PostsNo related creatorSee analytics
9,#carwashVehicle,300,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-12T16:13:53.559517,9# carwashVehicle & Transportation300PostsNo related creatorSee analytics
353,#clasa,166,N/A,General,5.8,0.0,Neutral,2025-09-12T16:13:53.585908,353# clasa166PostsNo related creatorSee analytics
59,#cristianoronaldo,35,N/A,Sports & Fitness,5.5,0.0,Neutral,2025-09-12T16:13:53.604841,59# cristianoronaldo7Sports & Outdoor35PostsSee analytics
27,#doakesNews,84,N/A,News & Politics,5.0,0.0,Neutral,2025-09-12T16:13:53.578483,27# doakesNews & Entertainment84PostsNo related creatorSee analytics
1156,#eclipsaGames,552,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-12T16:13:53.562668,1156# eclipsaGames552PostsNo related creatorSee analytics
38,#eclipsadelunaNews,242,N/A,News & Politics,5.5,0.0,Neutral,2025-09-12T16:13:53.588350,38# eclipsadelunaNews & Entertainment242PostsNo related creatorSee analytics
17,#eclipse,558,N/A,General,5.8,0.0,Neutral,2025-09-12T16:13:53.568421,17# eclipse558PostsSee analytics
37,#emmamyersNews,37,N/A,News & Politics,5.0,0.0,Neutral,2025-09-12T16:13:53.587513,37# emmamyersNews & Entertainment37PostsSee analytics
3,#florincercel,623,N/A,General,5.5,0.0,Neutral,2025-09-12T16:13:53.551994,3# florincercel623PostsNo related creatorSee analytics
47,#florincercelmusic,52,N/A,Music,6.0,0.0,Neutral,2025-09-12T16:13:53.594728,47# florincercelmusic1News & Entertainment52PostsNo related creatorSee analytics
637,#francezaEducation,48,N/A,Education,5.0,0.0,Neutral,2025-09-12T16:13:53.615848,637# francezaEducation48PostsNo related creatorSee analytics
46,#frf,45,N/A,General,5.3,0.0,Neutral,2025-09-12T16:13:53.593870,46# frf45PostsNo related creatorSee analytics
33,#fullmoonNews,144,N/A,News & Politics,5.5,0.0,Neutral,2025-09-12T16:13:53.584035,33# fullmoonNews & Entertainment144PostsNo related creatorSee analytics
56,#gamersGames,60,N/A,Sports & Fitness,5.5,0.0,Neutral,2025-09-12T16:13:53.602181,56# gamersGames60PostsSee analytics
62,#haipeforyou,120,N/A,Technology,6.0,0.0,Neutral,2025-09-12T16:13:53.614924,62# haipeforyou🦋💋❤120PostsNo related creatorSee analytics
202,#heartsignal,436,N/A,General,5.5,0.0,Neutral,2025-09-12T16:13:53.571288,202# heartsignal436PostsNo related creatorSee analytics
50,#historia,54,N/A,General,5.3,0.0,Neutral,2025-09-12T16:13:53.597200,50# historia54PostsSee analytics
2133,#incepe,93,N/A,General,5.3,0.0,Neutral,2025-09-12T16:13:53.572075,2133# incepe93PostsNo related creatorSee analytics
55,#incepescoala,438,N/A,General,5.5,0.0,Neutral,2025-09-12T16:13:53.554914,55# incepescoala438PostsNo related creatorSee analytics
2619,#incepescoalapebune,140,N/A,General,5.5,0.0,Neutral,2025-09-12T16:13:53.577457,2619# incepescoalapebune140PostsNo related creatorSee analytics
53,#isaacordonezNews,53,N/A,News & Politics,5.0,0.0,Neutral,2025-09-12T16:13:53.599684,53# isaacordonezNews & Entertainment53PostsNo related creatorSee analytics
3228,#jamarrSports,40,N/A,Sports & Fitness,5.5,0.0,Neutral,2025-09-12T16:13:53.583086,3228# jamarrSports & Outdoor40PostsNo related creatorSee analytics
41,#lovepotionBeauty,63,N/A,Fashion & Beauty,5.5,0.0,Neutral,2025-09-12T16:13:53.589372,41# lovepotionBeauty & Personal Care63PostsNo related creatorSee analytics
51,#lucescuSports,58,N/A,Sports & Fitness,5.5,0.0,Neutral,2025-09-12T16:13:53.597909,51# lucescuSports & Outdoor58PostsNo related creatorSee analytics
34,#lunaplinaNews,94,N/A,News & Politics,5.0,0.0,Neutral,2025-09-12T16:13:53.585098,34# lunaplinaNews & Entertainment94PostsNo related creatorSee analytics
49,#manelechillNews,65,N/A,News & Politics,5.0,0.0,Neutral,2025-09-12T16:13:53.596404,49# manelechillNews & Entertainment65PostsNo related creatorSee analytics
58,#manelecollectionNews,118,N/A,News & Politics,5.3,0.0,Neutral,2025-09-12T16:13:53.603852,58# manelecollectionNews & Entertainment118PostsNo related creatorSee analytics
43,#mar,53,N/A,General,5.3,0.0,Neutral,2025-09-12T16:13:53.591246,43# mar53PostsSee analytics
14,#maxverstappenSports,157,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-12T16:13:53.565946,14# maxverstappenSports & Outdoor157PostsSee analytics
221,#missme,158,N/A,General,5.8,0.0,Neutral,2025-09-12T16:13:53.572941,221# missme158PostsSee analytics
1911,#moldovan,56,N/A,General,5.3,0.0,Neutral,2025-09-12T16:13:53.570368,1911# moldovan56PostsNo related creatorSee analytics
2526,#monzaSports,117,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-12T16:13:53.576378,2526# monzaSports & Outdoor117PostsNo related creatorSee analytics
31,#morticiaaddamsNews,63,N/A,News & Politics,5.0,0.0,Neutral,2025-09-12T16:13:53.582212,31# morticiaaddamsNews & Entertainment63PostsNo related creatorSee analytics
55,#obregia,23,N/A,General,5.3,0.0,Neutral,2025-09-12T16:13:53.601483,55# obregia23PostsNo related creatorSee analytics
18,#parfumdeluxBeauty,175,N/A,Fashion & Beauty,6.0,0.0,Neutral,2025-09-12T16:13:53.569403,18# parfumdeluxBeauty & Personal Care175PostsNo related creatorSee analytics
29,#perdoname,897,N/A,General,5.8,0.0,Neutral,2025-09-12T16:13:53.550429,29# perdoname897PostsNo related creatorSee analytics
10,#portugalSports,146,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-12T16:13:53.560867,10# portugalSports & Outdoor146PostsSee analytics
30,#profesori,212,N/A,General,5.8,0.0,Neutral,2025-09-12T16:13:53.581350,30# profesori212PostsNo related creatorSee analytics
36,#pugsleyaddamsNews,42,N/A,News & Politics,5.0,0.0,Neutral,2025-09-12T16:13:53.586711,36# pugsleyaddamsNews & Entertainment42PostsNo related creatorSee analytics
54,#republikfestNews,25,N/A,News & Politics,5.0,0.0,Neutral,2025-09-12T16:13:53.600684,54# republikfestNews & Entertainment25PostsNo related creatorSee analytics
13,#rodriftSports,251,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-12T16:13:53.564836,13# rodriftSports & Outdoor251PostsNo related creatorSee analytics
12,#sambata,80,N/A,General,5.3,0.0,Neutral,2025-09-12T16:13:53.563935,12# sambata80PostsNo related creatorSee analytics
1,#scoala,7K,N/A,General,6.3,0.0,Neutral,2025-09-12T16:13:53.548851,1# scoala7KPostsNo related creatorSee analytics
29,#sinaiaforeverNews,107,N/A,Technology,5.5,0.0,Neutral,2025-09-12T16:13:53.580297,29# sinaiaforeverNews & Entertainment107PostsNo related creatorSee analytics
60,#soldier,14,N/A,General,5.3,0.0,Neutral,2025-09-12T16:13:53.605830,60# soldier14PostsSee analytics
236,#talk,144,N/A,General,5.8,0.0,Neutral,2025-09-12T16:13:53.573855,236# talk144PostsNo related creatorSee analytics
15,#theconjuringNews,108,N/A,News & Politics,5.5,0.0,Neutral,2025-09-12T16:13:53.567116,15# theconjuringNews & Entertainment108PostsNo related creatorSee analytics
77,#thenunNews,127,N/A,News & Politics,5.5,0.0,Neutral,2025-09-12T16:13:53.557306,77# thenunNews & Entertainment127PostsNo related creatorSee analytics
57,#theweekndconcertNews,122,N/A,Entertainment,6.3,0.0,Neutral,2025-09-12T16:13:53.603062,57# theweekndconcertNews & Entertainment122PostsNo related creatorSee analytics
6,#tvgirl,265,N/A,Entertainment,6.8,0.0,Neutral,2025-09-12T16:13:53.556075,6# tvgirl265PostsSee analytics
61,#xlovNews,67,N/A,News & Politics,5.3,0.0,Neutral,2025-09-12T16:13:53.606770,61# xlovNews & Entertainment67PostsNo related creatorSee analytics
48,#xotwodNews,69,N/A,News & Politics,5.0,0.0,Neutral,2025-09-12T16:13:53.595565,48# xotwodNews & Entertainment69PostsNo related creatorSee analytics
